Label,BalabanJ,BertzCT,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FractionCSP3,HallKierAlpha,Ipc,Kappa2,Kappa3,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinEStateIndex,MolLogP,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,TPSA,VSA_EState10,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azo,fr_benzodiazepine,fr_bicyclic,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiophene,fr_unbrch_alkane,fr_urea
0,2.68,363.559,0.0,4.795,0.0,5.907,6.545,29.904,0.0,0.0,32.047,24.064,0.0,234.173,0.5,-1.35,5511.135,6.401,3.858,0.324,11.892,0.238,0.061,0.061,2.584,0,0,0,1,0,1,2,1,3,6,0,0,0,5.317,0.0,0.0,5.907,0.0,0.0,9.694,0.0,0.0,0.0,32.047,38.064,5.687,6.545,1,4.795,11.595,0.0,4.9,0.0,27.695,24.951,29.326,0.0,5.317,5.687,0.0,0.0,30.441,4.795,13.847,24.974,18.199,0.0,0.0,32.34,0.0,0.0,36.667,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3.44,176.387,12.011,4.795,0.0,5.96,19.386,0.0,0.0,0.0,0.0,4.992,22.308,174.112,0.667,-1.3,312.646,5.363,5.482,0.48,10.217,0.32,0.013,-1.0,-1.548,0,0,0,0,0,0,3,4,6,5,0,0,0,22.308,6.042,5.96,0.0,0.0,5.969,9.787,0.0,0.0,0.0,0.0,12.842,6.545,0.0,0,9.901,11.929,0.0,0.0,22.193,18.883,6.545,0.0,0.0,17.201,0.0,0.0,0.0,29.622,4.795,0.0,12.842,4.992,0.0,0.0,127.72,0.0,0.0,37.167,1,0,0,0,0,0,1,1,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,2.065,463.857,0.0,4.795,0.0,11.949,0.0,42.745,19.262,0.0,6.066,43.121,0.0,288.22,0.611,-1.35,57281.244,7.599,4.068,0.324,12.693,0.241,0.046,0.046,3.897,0,1,1,1,0,1,2,1,3,6,0,1,1,5.317,0.0,0.0,5.907,0.0,0.0,9.694,0.0,0.0,0.0,37.964,57.326,5.687,6.042,2,4.795,11.595,0.0,4.9,0.0,58.917,18.406,29.326,0.0,5.317,5.687,0.0,0.0,29.938,4.795,13.847,50.155,18.199,0.0,0.0,32.34,0.0,0.0,42.0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.382,1041.601,5.415,4.795,0.0,11.825,0.0,62.38,11.127,0.0,60.664,23.099,10.471,426.231,0.321,-3.11,43023146.51,8.793,3.69,0.493,13.196,0.232,0.137,-0.817,3.958,0,2,2,3,0,3,3,1,4,7,0,1,1,15.37,11.165,0.0,5.907,0.0,0.0,4.795,0.0,0.0,0.0,72.796,53.624,19.51,6.607,5,9.531,5.907,0.0,4.9,11.652,24.677,26.241,101.117,5.75,10.471,0.0,5.75,0.0,37.048,23.051,5.918,28.675,78.863,0.0,0.0,55.56,0.0,0.0,65.583,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,2.079,682.154,30.064,24.597,0.0,5.907,51.614,11.984,4.9,0.0,30.332,5.317,5.734,405.226,0.571,-2.45,3072694.216,11.527,6.83,0.48,13.063,0.326,0.335,-1.02,1.235,0,1,1,1,0,1,5,4,8,13,0,1,1,20.847,12.084,0.0,5.907,0.0,11.939,14.906,4.795,0.0,0.0,36.753,50.633,6.545,6.042,2,24.597,17.846,0.0,10.217,5.734,63.071,13.09,35.895,0.0,11.05,0.0,0.0,0.0,64.174,20.804,0.0,44.088,30.332,0.0,0.0,132.96,0.0,0.0,75.667,2,0,0,0,0,0,2,3,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1.557,817.698,0.0,14.384,0.0,38.549,30.595,44.946,17.335,6.924,6.076,13.847,4.737,416.202,0.792,-1.1,4382705.738,6.448,2.679,0.458,12.185,0.306,0.012,-0.287,4.852,4,1,5,0,0,0,5,0,5,2,3,1,4,4.737,5.601,10.899,0.0,0.0,5.969,14.384,0.0,0.0,0.0,31.182,74.19,30.43,0.0,5,19.12,28.63,0.0,0.0,28.584,89.41,0.0,11.649,0.0,0.0,0.0,0.0,11.762,27.719,19.12,28.584,78.559,11.649,0.0,0.0,60.44,1.497,0.0,62.086,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1.8,1072.732,0.0,4.795,0.0,5.907,26.449,42.752,6.421,22.881,36.198,10.524,34.803,462.078,0.273,-2.05,7664689.813,8.982,4.348,0.286,13.051,0.286,0.228,-0.228,5.939,0,1,1,2,1,3,4,1,8,5,0,1,1,0.0,0.0,5.694,0.0,5.907,0.0,10.22,9.691,5.099,0.0,53.356,50.097,34.262,16.404,4,4.795,40.71,0.0,20.215,0.0,26.186,13.09,68.79,16.945,5.426,0.0,0.0,34.803,33.786,0.0,6.924,35.314,42.465,15.068,16.945,50.16,18.621,1.697,47.016,0,0,0,0,2,0,0,1,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.88,193.943,6.49,0.0,0.0,0.0,0.0,0.0,39.269,0.0,0.0,14.011,11.807,189.049,1.0,0.53,1405.618,2.063,1.011,0.249,5.75,0.145,1.254,-1.269,0.158,0,3,3,0,0,0,1,0,5,3,0,3,3,0.0,6.49,0.0,0.0,0.0,0.0,0.0,14.011,0.0,0.0,0.0,11.807,39.269,0.0,3,0.0,18.297,0.0,14.011,0.0,0.0,39.269,0.0,0.0,0.0,0.0,0.0,6.49,53.28,11.807,0.0,0.0,0.0,0.0,0.0,9.03,5.75,7.465,6.257,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.316,623.34,5.969,14.696,0.0,12.204,16.951,5.563,0.0,35.88,19.056,0.0,0.0,256.097,0.2,-2.36,20987.176,5.099,2.731,0.55,12.294,0.209,0.118,-1.157,0.857,0,0,0,1,1,2,4,0,4,4,0,0,0,14.468,0.0,0.0,5.783,0.0,0.0,4.795,0.0,0.0,0.0,29.829,19.056,30.695,5.694,2,14.696,11.753,0.0,4.567,7.048,13.345,0.0,58.913,0.0,5.107,0.0,0.0,0.0,16.32,18.263,6.924,27.309,36.398,0.0,0.0,62.13,0.0,1.595,48.905,1,0,0,0,1,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.15,654.049,49.093,19.573,0.0,11.949,5.918,37.569,0.0,13.18,11.948,16.764,26.125,504.146,0.944,0.06,3716042.977,11.462,7.021,0.47,13.01,0.47,0.238,-4.933,0.506,0,2,2,0,0,0,8,5,13,10,0,2,2,30.054,29.852,0.0,5.907,0.0,7.823,14.218,4.565,0.0,23.363,13.345,38.987,6.545,17.461,2,38.62,37.093,0.0,10.217,5.918,80.423,19.848,0.0,0.0,5.317,0.0,0.0,31.186,97.968,18.62,5.918,33.11,0.0,0.0,0.0,148.79,7.384,15.913,60.62,0,2,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,3.491,145.828,17.918,9.589,0.0,12.842,0.0,0.0,0.0,0.0,0.0,0.0,16.574,146.069,0.6,-1.1,111.042,3.838,3.849,0.48,10.1,0.32,0.021,-1.11,-1.336,0,0,0,0,0,0,3,3,5,4,0,0,0,16.574,6.042,0.0,5.907,0.0,5.969,9.589,0.0,0.0,0.0,0.0,6.421,6.421,0.0,0,14.696,11.876,0.0,0.0,11.467,18.883,0.0,0.0,0.0,11.467,0.0,0.0,0.0,23.025,9.589,0.0,12.842,0.0,0.0,0.0,106.41,0.0,0.0,35.667,1,0,0,0,0,0,1,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1.613,1140.53,33.378,19.49,0.0,47.381,19.262,5.573,18.406,12.142,26.847,0.0,32.356,520.142,0.593,-1.89,71392012.53,8.056,3.024,0.457,13.573,0.375,0.006,-1.53,4.869,4,0,4,0,1,1,6,1,8,5,3,0,3,14.261,0.0,17.168,5.76,0.0,5.969,9.589,4.795,0.0,23.202,32.42,61.804,16.748,23.121,5,28.644,40.738,0.0,0.0,28.584,63.034,5.88,47.957,0.0,0.0,0.0,0.0,23.202,45.102,14.326,28.584,57.009,46.614,0.0,0.0,93.81,13.588,5.242,67.56,0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,5,0,0,1,1,1,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.094,498.372,41.271,20.114,0.0,11.949,5.918,25.807,11.762,13.18,11.948,12.241,16.338,424.18,0.944,-0.09,784871.983,10.094,5.291,0.388,12.901,0.237,0.147,-1.362,0.39,0,2,2,0,0,0,7,4,9,8,0,2,2,25.373,29.852,0.0,5.907,0.0,0.0,9.694,0.0,0.0,23.363,13.345,38.987,6.545,17.461,2,24.851,29.27,0.0,10.217,5.918,80.423,19.848,0.0,0.0,5.317,0.0,0.0,23.363,93.288,9.531,5.918,33.11,0.0,0.0,0.0,102.26,7.548,0.0,59.063,0,3,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1.877,716.856,17.12,15.008,0.0,17.575,25.012,24.092,0.0,6.066,13.114,4.9,4.737,301.131,0.588,-1.59,182851.992,3.658,1.126,0.504,12.524,0.174,0.003,-0.954,0.745,2,2,4,1,0,1,5,2,5,0,1,1,2,19.85,0.0,23.386,0.0,0.0,0.0,4.795,0.0,0.0,0.0,6.066,44.485,18.026,11.016,5,19.744,5.783,0.0,4.9,0.0,48.845,13.592,23.26,11.499,4.737,0.0,11.499,0.0,52.235,16.63,0.0,30.389,12.133,0.0,0.0,70.0,0.0,0.0,51.5,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3.05,109.109,0.0,0.0,0.0,0.0,0.0,0.0,5.563,6.197,13.121,10.197,0.0,82.053,0.25,-0.79,33.549,1.125,0.407,0.285,3.697,0.052,1.176,1.176,0.718,0,0,0,0,1,1,1,1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.099,0.0,5.099,0.0,0.0,12.487,6.197,6.197,1,0.0,0.0,0.0,10.197,0.0,6.924,0.0,17.957,0.0,0.0,0.0,0.0,0.0,10.197,0.0,6.924,5.563,12.394,0.0,0.0,28.68,0.0,0.0,13.167,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.899,735.173,0.0,5.262,0.0,5.25,15.742,15.553,0.0,52.878,12.133,11.053,23.202,352.961,0.143,-1.06,107906.717,6.368,3.09,0.296,9.379,0.145,0.224,0.224,5.061,0,1,1,1,1,2,5,0,7,2,0,1,1,0.0,11.766,0.0,0.0,0.0,0.0,4.567,4.984,5.262,23.524,29.268,17.696,33.442,10.564,3,0.0,52.423,5.262,9.551,0.0,5.25,5.753,56.766,6.069,0.0,0.0,0.0,46.726,15.304,0.0,11.331,10.813,41.157,10.045,5.697,41.61,15.528,2.729,30.298,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
